* Required Fields,* Trường bắt buộc
"A2 Luong Dinh Cua, Binh Khanh, Dist. 2, HCMC","Toà nhà STS, D3-D4-D5 Lương Định Của, Bình Khánh, Quận 2, Hồ Chí minh"
"Additional Inquiries:","Các yêu cầu:"
"And yes, our Customer Support Team can speak fluent English.","Và nhóm hỗ trợ khách hàng của chúng tôi sẽ giúp đỡ cho bạn tối đa"
"Ask your question right now with our Cutomer Support person.","Hãy hỏi câu hỏi của bạn ngay bây giờ với nhóm hỗ trợ khách hàng của Wannabe"
"Cancel an Order","Huỷ đơn hàng"
"Chat with Us:","Chat trực tiếp vói chúng tôi"
"Comment","Bình luận"
"Contact Form","Form liên hệ"
"Contact Information","Thông tin liên hệ"
"Contact me by email","Liên hệ bằng email"
"Contact me by phone","Liên hệ bằng điên thoại"
"Contact Us","Liên hệ với chúng tôi"
"Contacts,"Liên hệ"
"Contacts Section","Section liên hệ"
"Email","Email"
"Email address","Địa chỉ Email"
"Email Options","Tùy chọn email"
"Email Sender","Người gửi email"
"Email Template","Email Template"
"Email Us","Email cho chúng tôi"
"Enable Contact Us","Bật tính năng liên hệ với chúng tôi"
"Frequently Asked Questions","Các câu hỏi thường gặp "
"Frequently Asked Questions: Answers to our most commonly asked questions:","Câu hỏi thường gặp: Trả lời cho các câu hỏi thường gặp của chúng tôi:"
"General Information","Thông tin chung"
"Looking for a book","Về sách"
"Name","Tên"
"Order Number","Đơn hàng số"
"Our Locations:","Văn phòng:"
"Payment method","Phương thức thanh toán"
"please select one","Vui lòng chọn"
"Please fill out the following form to email us","Xin vui lòng điền vào mẫu dưới đây để gửi email cho chúng tôi"
"Press Inquiries: Please direct all media inquiries via email to:","Yêu cầu báo chí: vui lòng liên hệ tới email :"
"Regarding","Về vấn đề"
"section for help in finding an immediate answer to our most commonly asked questions.","của chúng tôi, cũng có thể trong đó đã có giải đáp những câu hỏi của bạn."
"Send Emails To","Gửi email đến"
"Shipping method, shipping rates & status","Phương thức vận chuyển, giá vận chuyển & tình trạng"
"Subject Line","Tiêu đề"
"Submit","Gửi"
"Suggestions and feedbacks","Gợi ý và phản hồi"
"Telephone","Điện thoại"
"WANNABE CORPORATION","Công ty cổ phần Wannabe"
"Three Quick and Easy ways to get in touch with us - Wannabe.com.vn Team is here to help you!","Có 3 cách để liên hệ với Wannabe nhanh nhất, nhóm hỗ trợ khách hàng sẽ giúp bạn!"
"Unable to submit your request. Please, try again later","Không thể gửi yêu cầu của bạn. Vui lòng thử lại sau."
"We are here for you from 8a.m to 9p.m from Mon to Sat.","Chúng tôi làm việc từ 7h đến 22h cả thứ 7 và chủ nhật"
"We look forward to helping you with your inquiry. We respond to email messages in the order that they are received, and we will respond to your email as quickly as possible.","Chúng tôi rất mong muốn đáp ứng mọi yêu cầu của bạn. Chúng tôi sẽ trả lời email theo thứ tự nhận được, và sẽ hồi âm cho bạn ngay khi có thể"
"You can also check our","Bạn có thể kiểm tra "
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Yêu cầu của bạn đã được gửi. Chúng tôi sẽ trả lời bạn ngay khi có thể. Rất cám ơn bạn đã liên hệ với chúng tôi."
