# of Use,# của sử dụng
%1$s incl tax.,%1$s bao gồm thuế.
%s - %s,%s - %s
%s Item(s),%s sản phẩm
(Copy data from: %s),(Sao chép dữ liệu từ: %s)
(Will make search for the query above return results for this search.),(Sẽ tìm cho truy vấn trên để trả lại cho việc tìm kiếm này.)
* Required Fields,* Trường bắt buộc
-- Please Select --,-- Vui lòng lựa chọn --
A name is required,Yêu cầu điền tên
ALL GROUPS,Tất cả các nhóm
Action,Thực hiện
Add Attribute,Thêm thuộc tính
Add Design Change,Thêm thay đổi thiết kế
Add Group,Thêm nhóm
Add Items to Cart,Thêm items vào giỏ hàng
Add New,Thêm mới
Add New Attribute,Thêm thuộc tính mới
Add New Attribute Set,Thêm thiết lập thuộc tính (Attribute Set)
Add New Group,Thêm nhóm mới
Add New Images,Thêm các ảnh mới
Add New Option,Thêm tùy chọn mới
Add New Row,Thêm dòng mới
Add New Search Term,Thêm từ khóa tìm kiếm mới
Add New Set,Thêm thiết lập mới
Add Option,Thêm tùy chọn
Add Product,Thêm sản phẩm
Add Product To Websites,Thêm sản phẩm và trang web
Add Root Category,Thêm danh mục gốc
Add Subcategory,Thêm danh mục con
Add Tax,Thêm thuế
Add Tier,Thêm tầng (Tier)
Add to Cart,Thêm vào giỏ hàng
Add to Compare,Thêm vào so sánh
Add to My Wishlist,Thêm vào danh sách ưa thích của tôi
Add to Wishlist,Thêm vào danh sách ưa thích
Additional Information,Thông tin thêm
All,Thông tin thêm
All Product Types,Tất cả các loại sản phẩm
All products of this set will be deleted! Are you sure you want to delete this attribute set?,Tất cả Sản phẩm của thiết lập nà sẽ bị xóa! Bạn có chắc chắn muốn xóa thuộc tính thiết lập này?
Apply To,Áp dụng cho
Apply To Configurable/Grouped Product,Áp dụng cho có thể cấu hình được/Sản phẩm được nhóm
Approved,Approved
Are you sure you want to delete this category?,Bạn có chắc chắn muốn xóa danh mục này?
Are you sure you would like to remove all item from compare products?,Bạn có chắc chắn muốn xóa tất cả item trong so sánh các sản phẩm?
Are you sure you would like to remove this item from the compare products?,Bạn có chắc chắn muốn bỏ item này ra khỏi so sánh các sản phẩm?
Are you sure?,Bạn có chắc chắn?
As low as:,Thấp như:
Assign,Gán
Assign product link,Gán liên kết (link)cho sản phẩm
Assign product to category,Gán sản phẩm vào danh mục
Assigned Products,Sản phẩm được gán
Associated Products,Các sản phẩm phù hợp
Attrib. Set Name,Tên thiết lập thuộc tính
Attribute Code,Mã thuộc tính
Attribute Information,Thông tin thuộc tính
Attribute Label,Nhãn thuộc tính
Attribute Model,Hình thức thuộc tính
Attribute Name:,Tên thuộc tính:
Attribute Properties,Đặc tính của thuộc tính
