"Alert Email Sender","Thông báo người gửi Email"
"Alert subscription was deleted successfully","Thông báo đăng ký nhận đã xoá thành công"
"Alert subscription was saved successfully","Đăng ký thành công, Bạn sẽ nhận được email thông báo khi sản phẩm này có hàng lại"
"Allow alert when product comes back in stock","Cho phép thông báo khi có hàng"
"Allow alert when product price changes","Cho phép thông báo khi giá hàng thay đổi"
"Click here not to receive alerts for this product","Bỏ nhận thông báo có hàng cho sản phẩm này"
"Error Email Recipient","Lỗi Email người nhận"
"Error Email Sender","Lỗi Email người gửi"
"Error Email Template","Lỗi mẫu Email"
"Frequency","Tần suất"
"Market Price:","Giá thị trường:"
"Not enough parameters","Không đủ các thông số"
"Please try again later","Vui lòng thử lại sau"
"Price alert Email Template","Mẫu Email thông báo giá"
"Price:","Giá:"
"Product Alerts","Thông báo sản phẩm"
"Product Alerts Run Settings","Thông báo sản phẩm chạy cài đặt"
"Product alerts Cron error","Cron thông báo sản phẩm lỗi"
"Product not found","Sản phẩm không tìm thấy"
"Product price alert","Thông báo giá sản phẩm"
"Product stock alert","Thông báo có hàng"
"List Price:","Giá bán:"
"Sign up for price alert","Đăng ký nhận báo giá"
"Sign up to get notified when this product is back in stock","Thông báo cho tôi khi có hàng này lại"
"Our price:","Giá bán:"
"Start Time","Thời gian bắt đầu"
"Stock alert Email Template","Mẫu Email thông báo có hàng"
"Unsubscribe from all price alerts","Bỏ nhận tất cả các thông báo giá"
"Unsubscribe from all stock alerts","Bỏ nhận tất cả các thông báo có hàng"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:",Bạn nhận email này vì bạn đã yêu cầu được nhận thông báo khi có hàng lại. Nay Wannabe.com.vn xin thông báo các sản phẩm đã có hàng lại chi tiết như sau:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bạn nhận email này vì bạn đã yêu cầu được nhận thông báo khi giá thay đổi. Nay Wannabe.com.vn xin thông báo các sản phẩm có giá thay đổi chi tiết như sau:"
"You save:","Tiết kiệm:"
"You will no longer receive price alerts for this product","Tôi sẽ không nhận báo giá cho sản phẩm này"
"You will no longer receive stock alerts","Tôi sẽ không nhận thông báo khi có hàng"
"You will no longer receive stock alerts for this product","Tôi sẽ không nhận thông báo khi có hàng về cho sản phẩm này"
